Name,mach,aoa-deg,beta,vx,vy,vz,temp,dens,pres,visc,sos,velocity,drag_coeff,Iterations,drag_force,lift_coeff,lift_force,moment,roll_mom,yaw_mom,q,sideforce,Last Updated
Case_16b,5.517542836,-0.006673715,-1.021841378,0.999840963,0.017833551,-0.00011646,288.15,1.225,101325,0.0000179,340.2626486,1877.41373,0.1051988,15014,1476.14892,-0.091387623,-1282.350571,-1113.321364,-19.26410153,539.5011667,-21704.33783,1343.0914,
Case_17b,6.165265349,-4.185392975,-2.19299183,0.996602674,0.038265583,-0.072930486,288.15,1.225,101325,0.0000179,340.2626486,2097.80951,0.115684126,15014,2026.773771,-0.606431817,-10624.62196,-4763.236682,-64.75879671,1931.601373,-26621.57353,4806.9865,
Case_18b,7.624158087,2.083637254,-3.032523118,0.99793941,0.052902805,0.036307401,288.15,1.225,101325,0.0000179,340.2626486,2594.21622,0.070124788,15014,1878.811918,0.09041876,2422.536303,-198.3612958,-68.53297626,2497.83522,-40592.17329,5775.1281,
Case_19b,5.015374269,-8.631747836,-4.775426453,0.985241346,0.083250451,-0.149562204,288.15,1.225,101325,0.0000179,340.2626486,1706.54453,0.175075259,13233,2029.828911,-1.344240511,-15585.17329,-6353.15914,-96.24229615,3739.233158,-17722.99813,9722.6234,
Case_2b,7.520895304,0.346837286,-2.669595377,0.99889643,0.046576372,0.006046846,288.15,1.225,101325,0.0000179,340.2626486,2559.07975,0.075934614,15014,1979.733964,-0.088386045,-2304.362227,-1914.454241,-87.67691915,2386.657507,-39627.03445,5553.8999,
Case_20b,6.376202883,6.855702202,-3.238974546,0.991263911,0.056500666,0.119178575,288.15,1.225,101325,0.0000179,340.2626486,2169.58368,0.076434335,13177,1432.32214,0.764578749,14327.63268,4294.932448,-2.090020038,1968.946501,-28204.46075,4577.8505,
Case_21b,7.342541536,-1.790091797,-2.47599107,0.998578845,0.043200748,-0.03120875,288.15,1.225,101325,0.0000179,340.2626486,2498.3926,0.087413689,15014,2172.202117,-0.310447349,-7714.517013,-3919.539136,-92.11956573,2478.400125,-37618.7992,5876.0539,
Case_22b,5.731209743,-5.007686132,-0.997170269,0.996032131,0.017403026,-0.08727616,288.15,1.225,101325,0.0000179,340.2626486,1950.1166,0.127107111,13144,1924.378142,-0.721281168,-10920.06339,-4775.558168,-26.73665827,821.330983,-23116.54137,2070.0489,
Case_23b,5.186904671,7.918930314,-4.460266513,0.987464382,0.077767735,0.137354558,288.15,1.225,101325,0.0000179,340.2626486,1764.90992,0.096783443,17187,1200.177726,1.051469254,13038.90352,4017.196593,-7.667096841,1975.895534,-18811.12185,4623.1573,
Case_24b,6.586569359,4.727177068,-3.582084866,0.994651367,0.062478455,0.082250228,288.15,1.225,101325,0.0000179,340.2626486,2241.16353,0.076725343,13225,1534.211868,0.44570111,8912.3086,2344.156809,-16.19072304,2234.465408,-30377.48144,5324.1432,
Case_25b,7.76873151,4.163448965,-1.671757574,0.996936481,0.029173534,0.072571057,288.15,1.225,101325,0.0000179,340.2626486,2643.4091,0.063383235,13431,1763.204092,0.334144915,9295.29212,2251.573189,-11.49104195,1294.617159,-42046.45401,3018.1949,
Case_26b,6.934838339,-2.951792038,-0.135128745,0.998670439,0.002358439,-0.05149556,288.15,1.225,101325,0.0000179,340.2626486,2359.66646,0.096468225,15014,2138.380239,-0.428378476,-9495.728427,-4533.113714,-4.901177313,132.9345377,-33586.96618,321.14967,
Case_27b,7.061453338,8.841193162,-0.607231779,0.988062643,0.010597995,0.153687658,288.15,1.225,101325,0.0000179,340.2626486,2402.74881,0.063996375,13461,1470.860632,1.021360348,23474.43465,7391.64267,-1.64314306,456.7892113,-34397.79624,962.16322,
Case_28b,6.444290998,3.123008522,-3.785759723,0.996336023,0.066025905,0.054360916,288.15,1.225,101325,0.0000179,340.2626486,2192.75152,0.082051727,15014,1570.601386,0.236469287,4526.400627,804.504236,-41.62855426,2313.520906,-29214.84403,5531.1999,
Case_29b,5.653707146,-1.274687281,-3.364114348,0.998029738,0.058681142,-0.022207321,288.15,1.225,101325,0.0000179,340.2626486,1923.74536,0.110003396,15014,1620.69268,-0.28191248,-4153.448993,-2165.380019,-75.22197044,2104.034091,-22627.5393,5207.0283,
Case_3b,5.96747696,-5.426515009,-1.479678374,0.995186348,0.025822389,-0.094537489,288.15,1.225,101325,0.0000179,340.2626486,2030.50951,0.126481567,15014,2076.044694,-0.760609444,-12484.50066,-5444.320867,-42.26983952,1322.532796,-24958.44857,3343.1662,
Case_30b,7.953191842,-8.79637507,-1.888305996,0.987701408,0.032951191,-0.152840271,288.15,1.225,101325,0.0000179,340.2626486,2706.17412,0.13515276,15014,3940.359039,-1.025144722,-29887.94519,-13134.3455,-93.70902577,2919.976388,-43293.76994,7320.1812,
Case_31b,4.11229563,-9.529192079,-3.60181209,0.99187285,0.071589259,0.105181882,288.15,1.225,101325,0.0000179,340.2626486,1769.88412,0.085080033,15014,1061.003262,0.522019566,6509.923016,1845.510726,3.119204883,1113.279132,-12140.73774,2811.7049,
Case_32b,2.906121041,4.39192745,-0.317817819,0.99889643,0.046576372,0.006046846,288.15,1.225,101325,0.0000179,340.2626486,2559.07975,0.034759385,15014,906.2314566,-7.9148E-05,-2.063513142,-176.2212809,1.872795707,418.3724061,-6289.516157,1175.7322,
Case_4b,7.88343221,1.209206227,-0.200723648,0.99977117,0.003503281,0.021102934,288.15,1.225,101325,0.0000179,340.2626486,2682.43752,0.067030134,15014,1920.121569,0.015729208,450.5733377,-986.4870465,-6.552688631,179.7043725,-43707.71632,410.3456,
Case_40b,3.96146643,6.570874054,-2.730547077,0.990009531,0.007186216,0.140817208,288.15,1.225,101325,0.0000179,340.2626486,2052.81903,0.058894598,15014,988.0438154,0.506384156,8495.341616,2487.159342,-0.238232478,103.6653262,-11224.16753,242.00891,
Case_41b,3.533051915,3.547387344,-4.097266771,0.98463427,0.046473598,-0.168331696,288.15,1.225,101325,0.0000179,340.2626486,2334.14309,0.061132746,15014,1325.953408,-0.457049112,-9913.27673,-3863.72703,-15.4006793,1332.61726,-8984.104433,3589.6602,
Case_42b,3.175041393,-7.83686115,-1.769420512,0.995763701,0.06900427,-0.06077057,288.15,1.225,101325,0.0000179,340.2626486,2550.66939,0.039618733,15014,1026.144057,-0.115809004,-2999.508328,-1263.034662,-19.51917034,1056.971715,-7365.269428,2893.6977,
Case_43b,4.841723535,0.538317634,-4.90099128,0.992030095,0.052309599,-0.114629822,288.15,1.225,101325,0.0000179,340.2626486,2418.15059,0.074127819,15014,1725.628539,-0.476553394,-11093.73172,-4603.526754,-55.78414817,2070.498836,-16603.99405,5395.9866,
Case_44b,4.520757024,-6.919054248,-2.458598368,0.999477017,0.02080291,0.024757446,288.15,1.225,101325,0.0000179,340.2626486,1868.13192,0.088286106,15014,1226.610982,0.082667941,1148.554504,-59.14569535,-6.222441122,390.2418184,-14749.24724,1010.1622,
Case_45b,4.392467787,-8.661626311,-2.054160795,0.995946001,0.078718456,-0.04353122,288.15,1.225,101325,0.0000179,340.2626486,2006.84416,0.084616541,13536,1356.694216,-0.271182244,-4347.984168,-1959.344581,-62.09021632,2029.579752,-13777.84821,5232.7456,
Case_46b,2.526078977,1.772603957,-2.647079788,0.999840963,0.017833551,-0.00011646,288.15,1.225,101325,0.0000179,340.2626486,1877.41373,0.057641525,15014,808.8255327,-0.00609331,-85.50129506,-158.5254786,1.292572879,123.5358541,-4828.932728,357.35117,
Case_47b,3.269158816,8.140069453,-0.003937552,0.996602674,0.038265583,-0.072930486,288.15,1.225,101325,0.0000179,340.2626486,2097.80951,0.060367043,15014,1057.624278,-0.204769941,-3587.54793,-1506.0534,-11.13244223,654.2310648,-7803.917352,1791.2329,
Case_48b,3.738335353,3.085106148,-0.779506924,0.99793941,0.052902805,0.036307401,288.15,1.225,101325,0.0000179,340.2626486,2594.21622,0.039928306,15014,1069.775474,0.054969731,1472.771452,194.9853046,-0.941451822,691.9169291,-10181.06133,1864.3853,
Case_49b,2.770831405,-5.053637788,-1.849762282,0.985241346,0.083250451,-0.149562204,288.15,1.225,101325,0.0000179,340.2626486,1706.54453,0.084765864,15014,982.7785056,-0.503261695,-5834.834361,-2216.06054,-0.91683189,1545.390454,-5586.672598,4234.3867,
Case_5b,6.796041615,9.85534975,-1.612518532,0.984852845,0.028140042,0.171093577,288.15,1.225,101325,0.0000179,340.2626486,2312.4391,0.065568485,15014,1395.838481,1.222437102,26023.55015,8341.65766,-7.201223046,1172.944708,-31629.64814,2415.9837,
Case_50b,4.902086178,-0.911594029,-1.185814456,0.991263911,0.056500666,0.119178575,288.15,1.225,101325,0.0000179,340.2626486,2169.58368,0.062319994,15014,1167.829968,0.519209872,9729.603831,2852.117172,-0.256172109,1222.196513,-16991.67874,2961.8505,
Case_6b,6.248255259,5.944944025,-4.277508982,0.991851348,0.074587284,0.103284268,288.15,1.225,101325,0.0000179,340.2626486,2126.04788,0.08057548,15014,1449.934514,0.640580397,11527.07536,3346.337474,-11.97582943,2511.917002,-27242.47901,5876.0161,
Case_7b,7.268382803,-7.707945375,-4.86640821,0.987392384,0.084832764,-0.133640118,288.15,1.225,101325,0.0000179,340.2626486,2473.15918,0.136839389,15014,3332.074256,-0.999624376,-24341.11024,-10478.481,-196.0486808,6430.525149,-36381.7425,16108.656,
Case_8b,6.67346814,3.892029144,-0.730639085,0.997612612,0.012751712,0.067870976,288.15,1.225,101325,0.0000179,340.2626486,2270.73194,0.07545776,15014,1548.94164,0.343447455,7050.037815,1641.306064,-3.768338323,423.7181568,-31338.52318,999.16437,
Case_9b,5.318032595,-7.234657239,-2.018478097,0.991423168,0.035221802,-0.125855185,288.15,1.225,101325,0.0000179,340.2626486,1809.52785,0.152803786,12055,1991.884102,-1.061357816,-13835.40171,-5793.024702,-46.33147319,1642.647369,-19940.05801,4226.7994,
